Method,Area Size,Number of Drones,Number of Users,Coverage,Average Signal Strength,Average Energy Consumption,Execution Time (s)
PSO,100,10,100,20,-38.169514448331995,100.0,0.2851424217224121
DFO,100,10,100,47,-36.852997218450305,100.0,1.7847685813903809
Random,100,10,150,67,-40.17105307061822,100.0,0.0
Grid,100,10,150,106,inf,100.0,0.0
Greedy,100,10,150,145,-36.76380805638926,100.0,0.14586949348449707
PSO,100,10,150,31,-40.59814657180175,100.0,0.42946457862854004
DFO,100,10,150,67,-40.17105307061822,100.0,2.9593260288238525
Random,100,20,50,21,-38.186395416967834,100.0,0.0
Grid,100,20,50,42,inf,100.0,0.000997781753540039
Greedy,100,20,50,50,-36.809453164620216,100.0,0.06699919700622559
PSO,100,20,50,13,-36.90338212231053,100.0,0.3850893974304199
DFO,100,20,50,21,-38.186395416967834,100.0,3.9154019355773926
Random,100,20,100,55,-35.04564586860228,100.0,0.0
Grid,100,20,100,88,inf,100.0,0.0
Greedy,100,20,100,100,inf,100.0,0.10613775253295898
PSO,100,20,100,21,-35.88148279973713,100.0,0.9180018901824951
DFO,100,20,100,55,-35.04564586860228,100.0,7.771657943725586
Random,100,20,150,70,-38.70318177807765,100.0,0.0
Grid,100,20,150,127,inf,100.0,0.0
Greedy,100,20,150,150,-37.330151531530404,100.0,0.16010665893554688
PSO,100,20,150,28,-40.78278639157512,100.0,1.0456173419952393
DFO,100,20,150,70,-38.70318177807765,100.0,10.12508487701416
Random,100,30,50,28,-36.9120176655725,100.0,0.0010139942169189453
Grid,100,30,50,48,inf,100.0,0.0
Greedy,100,30,50,50,-35.95484556690231,100.0,0.05701136589050293
PSO,100,30,50,14,-38.98170346885324,100.0,0.48182010650634766
DFO,100,30,50,28,-36.9120176655725,100.0,6.311878204345703
Random,100,30,100,48,-38.615715238750184,100.0,0.0009407997131347656
Grid,100,30,100,99,inf,100.0,0.0
Greedy,100,30,100,100,-35.27210207761659,100.0,0.0899209976196289
PSO,100,30,100,21,-37.656347505799644,100.0,0.7736670970916748
DFO,100,30,100,48,-38.615715238750184,100.0,13.94691801071167
